File             KeySize      Key

cipher1.txt      8            CRISTIAN
cipher2.txt      5            DAVID
cipher3.txt      10           DIEGODIEGO
cipher4.txt      7            EDUARDO
cipher5.txt      6            FELIPE
cipher6.txt      7            GIROTTO
cipher7.txt      7            GREGORY
cipher8.txt      8            HERCILIO
cipher9.txt      6            MAURER
cipher10.txt     6            RANGEL
cipher11.txt     9            JERUSALEM
cipher12.txt     8            SOFTWARE
cipher13.txt     8            IGORIGOR
cipher14.txt     9            JOAOPEDRO
cipher15.txt     10           STEINSTEIN
cipher16.txt     7            SCHULER
cipher17.txt     7            MARCELO
cipher18.txt     6            MATEUS
cipher19.txt     7            MATHEUS
cipher20.txt     7            MATHIAS
cipher21.txt     10           PAULOPAULO
cipher22.txt     6            RITTER
cipher23.txt     10           COMPANHONI
cipher24.txt     7            CADAVAL
cipher25.txt     6            RENATA
cipher26.txt     7            RICARDO
cipher27.txt     7            RODRIGO
cipher28.txt     6            BRANCO
cipher29.txt     10           KROTHKROTH
cipher30.txt     9            VIRGILIUS
cipher31.txt     5            VITOR
